gene_id,gene_symbol,half_life_h,cell_line,source,gencode_gene_id,gencode_transcript_id,gencode_gene_symbol,mapping_method
AHI1,AHI1,2.0791332574052,K562,Schofield2018_TimeLapseseq,,,,unmapped
AHNAK,AHNAK,2.1843719131696,K562,Schofield2018_TimeLapseseq,,,,unmapped
AHSA1,AHSA1,3.31714649291709,K562,Schofield2018_TimeLapseseq,,,,unmapped
AIFM1,AIFM1,9.12638871946361,K562,Schofield2018_TimeLapseseq,,,,unmapped
AIG1,AIG1,1.71159055434634,K562,Schofield2018_TimeLapseseq,,,,unmapped
AIMP1,AIMP1,2.07347971391006,K562,Schofield2018_TimeLapseseq,,,,unmapped
AIMP2,AIMP2,3.21397990504985,K562,Schofield2018_TimeLapseseq,,,,unmapped
AK2,AK2,5.38247029259379,K562,Schofield2018_TimeLapseseq,,,,unmapped
AK4,AK4,1.92540554519079,K562,Schofield2018_TimeLapseseq,,,,unmapped
AKAP1,AKAP1,0.844507491321521,K562,Schofield2018_TimeLapseseq,,,,unmapped
AKAP10,AKAP10,0.382387382856751,K562,Schofield2018_TimeLapseseq,,,,unmapped
AKAP11,AKAP11,0.667096311219629,K562,Schofield2018_TimeLapseseq,,,,unmapped
AKAP17A,AKAP17A,0.575366197374051,K562,Schofield2018_TimeLapseseq,,,,unmapped
AKAP8,AKAP8,0.708673156412645,K562,Schofield2018_TimeLapseseq,,,,unmapped
AKAP8L,AKAP8L,1.32931679234212,K562,Schofield2018_TimeLapseseq,,,,unmapped
AKAP9,AKAP9,0.946266001250375,K562,Schofield2018_TimeLapseseq,,,,unmapped
AKIRIN1,AKIRIN1,0.755026967370788,K562,Schofield2018_TimeLapseseq,,,,unmapped
AKIRIN2,AKIRIN2,0.502290167577466,K562,Schofield2018_TimeLapseseq,,,,unmapped
AKT1,AKT1,5.13223120320362,K562,Schofield2018_TimeLapseseq,,,,unmapped
AKT2,AKT2,3.01472471035809,K562,Schofield2018_TimeLapseseq,,,,unmapped
ALAS1,ALAS1,0.904996682448623,K562,Schofield2018_TimeLapseseq,,,,unmapped
ALDH1A2,ALDH1A2,11.0179590423286,K562,Schofield2018_TimeLapseseq,,,,unmapped
ALDH1B1,ALDH1B1,1.64318801800283,K562,Schofield2018_TimeLapseseq,,,,unmapped
ALDH9A1,ALDH9A1,3.07870329328763,K562,Schofield2018_TimeLapseseq,,,,unmapped
ALDOA,ALDOA,6.9690579520966,K562,Schofield2018_TimeLapseseq,,,,unmapped
ALG3,ALG3,6.58731413926018,K562,Schofield2018_TimeLapseseq,,,,unmapped
ALG8,ALG8,2.75159263542695,K562,Schofield2018_TimeLapseseq,,,,unmapped
ALKBH2,ALKBH2,0.968162842224628,K562,Schofield2018_TimeLapseseq,,,,unmapped
ALKBH5,ALKBH5,1.97540507949454,K562,Schofield2018_TimeLapseseq,,,,unmapped
ALKBH8,ALKBH8,1.02418372611863,K562,Schofield2018_TimeLapseseq,,,,unmapped
ALMS1,ALMS1,1.72876474846984,K562,Schofield2018_TimeLapseseq,,,,unmapped
ALS2,ALS2,1.14971030505364,K562,Schofield2018_TimeLapseseq,,,,unmapped
ALYREF,ALYREF,5.89101237517439,K562,Schofield2018_TimeLapseseq,,,,unmapped
AMBRA1,AMBRA1,0.479586718665106,K562,Schofield2018_TimeLapseseq,,,,unmapped
AMD1,AMD1,0.622529372552881,K562,Schofield2018_TimeLapseseq,,,,unmapped
AMER1,AMER1,0.707504694242284,K562,Schofield2018_TimeLapseseq,,,,unmapped
AMFR,AMFR,4.90285537849995,K562,Schofield2018_TimeLapseseq,,,,unmapped
AMMECR1,AMMECR1,4.47121809101382,K562,Schofield2018_TimeLapseseq,,,,unmapped
AMMECR1L,AMMECR1L,0.364668475735546,K562,Schofield2018_TimeLapseseq,,,,unmapped
AMOTL1,AMOTL1,0.951253508942463,K562,Schofield2018_TimeLapseseq,,,,unmapped
AMPD2,AMPD2,2.2049632695086,K562,Schofield2018_TimeLapseseq,,,,unmapped
AMPD3,AMPD3,1.03516132923711,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANAPC1,ANAPC1,3.38896215629012,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANAPC10,ANAPC10,1.06731158395835,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANAPC13,ANAPC13,1.58991458464098,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANAPC5,ANAPC5,4.97501043519792,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANGEL2,ANGEL2,0.82546431882801,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANGPT1,ANGPT1,0.952166023910618,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANK1,ANK1,1.94769229973058,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANKFY1,ANKFY1,1.03486507781511,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANKIB1,ANKIB1,0.789666112185318,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANKLE2,ANKLE2,0.960732455023491,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANKMY2,ANKMY2,2.60278253080493,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANKRD10,ANKRD10,1.00646491324803,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANKRD11,ANKRD11,0.67536707746041,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANKRD12,ANKRD12,0.579676214602388,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANKRD13C,ANKRD13C,0.785159373020642,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANKRD17,ANKRD17,1.26682484879496,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANKRD27,ANKRD27,0.989088858684317,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANKRD28,ANKRD28,2.18837271021139,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANKRD36,ANKRD36,0.737155294078176,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANKRD36B,ANKRD36B,0.645901426887907,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANKRD36C,ANKRD36C,0.977302911097394,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANKRD40,ANKRD40,0.532380107990125,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANKRD50,ANKRD50,0.284752195136065,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANKRD52,ANKRD52,1.32808328389051,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANKS1A,ANKS1A,0.86980275003014,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANKS6,ANKS6,2.61769793987137,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANLN,ANLN,0.695597602907562,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANO10,ANO10,2.79873994307977,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANO6,ANO6,0.862279101966179,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANP32A,ANP32A,6.17887981562935,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANP32B,ANP32B,5.7839725916433,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANP32E,ANP32E,6.98532050604308,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANTXR2,ANTXR2,1.13039257442708,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANXA1,ANXA1,7.2042929706036,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANXA11,ANXA11,3.61411575317306,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANXA2,ANXA2,6.35322037540195,K562,Schofield2018_TimeLapseseq,,,,unmapped
ANXA7,ANXA7,5.00349331121822,K562,Schofield2018_TimeLapseseq,,,,unmapped
AP000705.7,AP000705.7,0.875207575383395,K562,Schofield2018_TimeLapseseq,,,,unmapped
AP1AR,AP1AR,0.715127215581488,K562,Schofield2018_TimeLapseseq,,,,unmapped
AP1B1,AP1B1,3.73430388651923,K562,Schofield2018_TimeLapseseq,,,,unmapped
AP1G1,AP1G1,1.15750529715974,K562,Schofield2018_TimeLapseseq,,,,unmapped
AP1M1,AP1M1,3.47493764452577,K562,Schofield2018_TimeLapseseq,,,,unmapped
AP2A1,AP2A1,4.62938661490441,K562,Schofield2018_TimeLapseseq,,,,unmapped
AP2A2,AP2A2,2.4097868652492,K562,Schofield2018_TimeLapseseq,,,,unmapped
AP2B1,AP2B1,6.16924808909373,K562,Schofield2018_TimeLapseseq,,,,unmapped
AP2M1,AP2M1,9.02987325141073,K562,Schofield2018_TimeLapseseq,,,,unmapped
AP3B1,AP3B1,3.25635207544702,K562,Schofield2018_TimeLapseseq,,,,unmapped
AP3D1,AP3D1,3.80447627914884,K562,Schofield2018_TimeLapseseq,,,,unmapped
AP3M1,AP3M1,2.9126621363818,K562,Schofield2018_TimeLapseseq,,,,unmapped
AP5M1,AP5M1,1.46410834685334,K562,Schofield2018_TimeLapseseq,,,,unmapped
APBA2,APBA2,1.69636317441909,K562,Schofield2018_TimeLapseseq,,,,unmapped
APC,APC,0.766992586091976,K562,Schofield2018_TimeLapseseq,,,,unmapped
APEH,APEH,3.54366304128029,K562,Schofield2018_TimeLapseseq,,,,unmapped
APEX1,APEX1,5.69245090398038,K562,Schofield2018_TimeLapseseq,,,,unmapped
APEX2,APEX2,0.928194763595239,K562,Schofield2018_TimeLapseseq,,,,unmapped
API5,API5,2.94076953166171,K562,Schofield2018_TimeLapseseq,,,,unmapped
APIP,APIP,2.72133781182689,K562,Schofield2018_TimeLapseseq,,,,unmapped
APLP2,APLP2,7.14853413195814,K562,Schofield2018_TimeLapseseq,,,,unmapped
APTX,APTX,1.81800918019907,K562,Schofield2018_TimeLapseseq,,,,unmapped
AQR,AQR,3.01467090011701,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARAF,ARAF,3.04246547077506,K562,Schofield2018_TimeLapseseq,,,,unmapped
ARAP1,ARAP1,2.23231391814166,K562,Schofield2018_TimeLapseseq,,,,unmapped
