gene_id,gene_symbol,half_life_h,cell_line,source
Atpaf1,Atpaf1,4.13356331139852,mESC,Herzog2017_SLAMseq
Atr,Atr,2.21541204502428,mESC,Herzog2017_SLAMseq
Atraid,Atraid,4.39341964383772,mESC,Herzog2017_SLAMseq
Atxn10,Atxn10,6.58134448060277,mESC,Herzog2017_SLAMseq
Atxn2,Atxn2,4.88191572286799,mESC,Herzog2017_SLAMseq
Aunip,Aunip,2.16642933500549,mESC,Herzog2017_SLAMseq
Aup1,Aup1,4.37003735502456,mESC,Herzog2017_SLAMseq
Aurkaip1,Aurkaip1,7.39018219536339,mESC,Herzog2017_SLAMseq
Aven,Aven,7.91760121388968,mESC,Herzog2017_SLAMseq
Avl9,Avl9,2.61730877305068,mESC,Herzog2017_SLAMseq
AW209491,AW209491,1.23039126500603,mESC,Herzog2017_SLAMseq
Axin1,Axin1,2.98219762343372,mESC,Herzog2017_SLAMseq
B230219D22Rik,B230219D22Rik,2.04039489876746,mESC,Herzog2017_SLAMseq
B230354K17Rik,B230354K17Rik,1.77075720819381,mESC,Herzog2017_SLAMseq
B3galnt2,B3galnt2,2.38655155158347,mESC,Herzog2017_SLAMseq
B3gat3,B3gat3,1.97810379884736,mESC,Herzog2017_SLAMseq
B3gnt7,B3gnt7,2.39938743356427,mESC,Herzog2017_SLAMseq
B4galnt4,B4galnt4,4.74811397351058,mESC,Herzog2017_SLAMseq
B4galt3,B4galt3,3.54344875318888,mESC,Herzog2017_SLAMseq
B9d1,B9d1,6.63268366714887,mESC,Herzog2017_SLAMseq
Babam1,Babam1,5.6859706910797,mESC,Herzog2017_SLAMseq
Bach1,Bach1,2.62086710428514,mESC,Herzog2017_SLAMseq
Bad,Bad,5.15327288022059,mESC,Herzog2017_SLAMseq
Bag6,Bag6,8.75884984839129,mESC,Herzog2017_SLAMseq
Bahcc1,Bahcc1,4.4814186636401,mESC,Herzog2017_SLAMseq
Baiap2,Baiap2,2.70989016153765,mESC,Herzog2017_SLAMseq
