gene_id,gene_symbol,half_life_h,cell_line,source
ATG12,ATG12,1.66372926618138,K562,Schofield2018_TimeLapseseq
ATG16L1,ATG16L1,0.368204542498852,K562,Schofield2018_TimeLapseseq
ATG2A,ATG2A,1.09082445841508,K562,Schofield2018_TimeLapseseq
ATG3,ATG3,5.99735829574763,K562,Schofield2018_TimeLapseseq
ATG4B,ATG4B,1.54560219256646,K562,Schofield2018_TimeLapseseq
ATG4D,ATG4D,0.910889508750336,K562,Schofield2018_TimeLapseseq
ATG5,ATG5,1.35651493094561,K562,Schofield2018_TimeLapseseq
ATG7,ATG7,1.21219648647063,K562,Schofield2018_TimeLapseseq
ATIC,ATIC,8.49774004470431,K562,Schofield2018_TimeLapseseq
ATL2,ATL2,0.623242079066139,K562,Schofield2018_TimeLapseseq
ATL3,ATL3,1.32000159353882,K562,Schofield2018_TimeLapseseq
ATM,ATM,2.31105381323974,K562,Schofield2018_TimeLapseseq
ATMIN,ATMIN,0.535836437236741,K562,Schofield2018_TimeLapseseq
ATN1,ATN1,2.32743208357225,K562,Schofield2018_TimeLapseseq
ATP11A,ATP11A,0.881868076828583,K562,Schofield2018_TimeLapseseq
ATP11B,ATP11B,2.71759885669869,K562,Schofield2018_TimeLapseseq
ATP11C,ATP11C,3.92041749483351,K562,Schofield2018_TimeLapseseq
ATP13A1,ATP13A1,2.10647400412893,K562,Schofield2018_TimeLapseseq
ATP13A3,ATP13A3,2.10107623839173,K562,Schofield2018_TimeLapseseq
ATP1A1,ATP1A1,6.47930695538686,K562,Schofield2018_TimeLapseseq
ATP1B3,ATP1B3,6.7276208257383,K562,Schofield2018_TimeLapseseq
ATP2A2,ATP2A2,2.64151428680203,K562,Schofield2018_TimeLapseseq
ATP2B1,ATP2B1,0.977258610433738,K562,Schofield2018_TimeLapseseq
ATP2B4,ATP2B4,2.1968721185427,K562,Schofield2018_TimeLapseseq
ATP2C1,ATP2C1,3.08090297885736,K562,Schofield2018_TimeLapseseq
ATP5A1,ATP5A1,8.48909809343834,K562,Schofield2018_TimeLapseseq
ATP5B,ATP5B,9.93008798449332,K562,Schofield2018_TimeLapseseq
ATP5D,ATP5D,7.79835864797588,K562,Schofield2018_TimeLapseseq
ATP5E,ATP5E,7.8546119880252,K562,Schofield2018_TimeLapseseq
ATP5F1,ATP5F1,9.45417595367622,K562,Schofield2018_TimeLapseseq
ATP5G2,ATP5G2,4.78463078367796,K562,Schofield2018_TimeLapseseq
ATP5G3,ATP5G3,6.38073850538921,K562,Schofield2018_TimeLapseseq
ATP5J,ATP5J,7.03344141608903,K562,Schofield2018_TimeLapseseq
ATP5L,ATP5L,8.96354908820963,K562,Schofield2018_TimeLapseseq
ATP5SL,ATP5SL,2.79997296375852,K562,Schofield2018_TimeLapseseq
ATP6V0A1,ATP6V0A1,2.57931137213962,K562,Schofield2018_TimeLapseseq
ATP6V0A2,ATP6V0A2,3.01195929433993,K562,Schofield2018_TimeLapseseq
ATP6V0D1,ATP6V0D1,1.98465337072629,K562,Schofield2018_TimeLapseseq
ATP6V0E1,ATP6V0E1,0.879974593035342,K562,Schofield2018_TimeLapseseq
ATP6V1A,ATP6V1A,6.7738269547158,K562,Schofield2018_TimeLapseseq
ATP6V1B2,ATP6V1B2,1.46316918554452,K562,Schofield2018_TimeLapseseq
ATP6V1C1,ATP6V1C1,2.80591745933851,K562,Schofield2018_TimeLapseseq
ATP6V1E1,ATP6V1E1,2.49533449628642,K562,Schofield2018_TimeLapseseq
ATP6V1F,ATP6V1F,7.96492176649387,K562,Schofield2018_TimeLapseseq
ATP6V1G1,ATP6V1G1,3.98485559116744,K562,Schofield2018_TimeLapseseq
ATP6V1H,ATP6V1H,1.64600134050727,K562,Schofield2018_TimeLapseseq
ATP7A,ATP7A,2.77081123901968,K562,Schofield2018_TimeLapseseq
ATP7B,ATP7B,1.80777467466634,K562,Schofield2018_TimeLapseseq
ATP9B,ATP9B,1.09725876504043,K562,Schofield2018_TimeLapseseq
ATPIF1,ATPIF1,9.03743902477554,K562,Schofield2018_TimeLapseseq
ATR,ATR,1.64490871868497,K562,Schofield2018_TimeLapseseq
