gene_id,gene_symbol,half_life_h,cell_line,source,gencode_gene_id,gencode_transcript_id,gencode_gene_symbol,mapping_method
Alkbh5,Alkbh5,3.65852026949501,mESC,Herzog2017_SLAMseq,,,,unmapped
Ammecr1l,Ammecr1l,1.60789572025808,mESC,Herzog2017_SLAMseq,,,,unmapped
Amotl2,Amotl2,1.37593128539749,mESC,Herzog2017_SLAMseq,,,,unmapped
Amph,Amph,2.25937444156544,mESC,Herzog2017_SLAMseq,,,,unmapped
Amt,Amt,5.06878351688383,mESC,Herzog2017_SLAMseq,,,,unmapped
Anapc11,Anapc11,6.78785636325516,mESC,Herzog2017_SLAMseq,,,,unmapped
Anapc15,Anapc15,7.21386688731821,mESC,Herzog2017_SLAMseq,,,,unmapped
Anapc2,Anapc2,4.64146489033136,mESC,Herzog2017_SLAMseq,,,,unmapped
Anapc4,Anapc4,3.94619649701058,mESC,Herzog2017_SLAMseq,,,,unmapped
Anapc7,Anapc7,2.18344369895031,mESC,Herzog2017_SLAMseq,,,,unmapped
Ank,Ank,3.61702520782717,mESC,Herzog2017_SLAMseq,,,,unmapped
Ankle2,Ankle2,3.09751375341428,mESC,Herzog2017_SLAMseq,,,,unmapped
Ankmy2,Ankmy2,3.18885277274671,mESC,Herzog2017_SLAMseq,,,,unmapped
Ankra2,Ankra2,5.35450503941696,mESC,Herzog2017_SLAMseq,,,,unmapped
Ankrd13a,Ankrd13a,7.18386829316862,mESC,Herzog2017_SLAMseq,,,,unmapped
Ankrd13c,Ankrd13c,3.80876779582704,mESC,Herzog2017_SLAMseq,,,,unmapped
Ankrd27,Ankrd27,3.84070842510279,mESC,Herzog2017_SLAMseq,,,,unmapped
Ankrd31,Ankrd31,2.75016584683847,mESC,Herzog2017_SLAMseq,,,,unmapped
Ankrd40,Ankrd40,4.62361033114141,mESC,Herzog2017_SLAMseq,,,,unmapped
Ano6,Ano6,3.49492718779152,mESC,Herzog2017_SLAMseq,,,,unmapped
Anp32a,Anp32a,4.98155531415679,mESC,Herzog2017_SLAMseq,,,,unmapped
Anp32a,Anp32a,3.49353251349584,mESC,Herzog2017_SLAMseq,,,,unmapped
Anp32b,Anp32b,4.99968606190834,mESC,Herzog2017_SLAMseq,,,,unmapped
Anp32e,Anp32e,7.50719668668312,mESC,Herzog2017_SLAMseq,,,,unmapped
Anp32e,Anp32e,4.3535406097894,mESC,Herzog2017_SLAMseq,,,,unmapped
Ap1b1,Ap1b1,4.47662238341402,mESC,Herzog2017_SLAMseq,,,,unmapped
Ap1g1,Ap1g1,3.22414448284239,mESC,Herzog2017_SLAMseq,,,,unmapped
Ap1g1,Ap1g1,3.00893840898029,mESC,Herzog2017_SLAMseq,,,,unmapped
Ap1m1,Ap1m1,6.68731270406101,mESC,Herzog2017_SLAMseq,,,,unmapped
Ap1s2,Ap1s2,5.53374989142966,mESC,Herzog2017_SLAMseq,,,,unmapped
Ap2a2,Ap2a2,5.73974518824147,mESC,Herzog2017_SLAMseq,,,,unmapped
Ap2b1,Ap2b1,4.10854107124309,mESC,Herzog2017_SLAMseq,,,,unmapped
Ap2m1,Ap2m1,7.9305356476293,mESC,Herzog2017_SLAMseq,,,,unmapped
Ap2s1,Ap2s1,7.52417540529516,mESC,Herzog2017_SLAMseq,,,,unmapped
Ap3b1,Ap3b1,4.52510443889268,mESC,Herzog2017_SLAMseq,,,,unmapped
Ap3s1,Ap3s1,5.29601438804752,mESC,Herzog2017_SLAMseq,,,,unmapped
Ap4b1,Ap4b1,1.96512840789973,mESC,Herzog2017_SLAMseq,,,,unmapped
Ap5z1,Ap5z1,4.61772675473383,mESC,Herzog2017_SLAMseq,,,,unmapped
Apcdd1,Apcdd1,2.63460173791561,mESC,Herzog2017_SLAMseq,,,,unmapped
Apex1,Apex1,4.60720898502128,mESC,Herzog2017_SLAMseq,,,,unmapped
Aph1a,Aph1a,5.42546132592549,mESC,Herzog2017_SLAMseq,,,,unmapped
Apobec3,Apobec3,4.87179941647274,mESC,Herzog2017_SLAMseq,,,,unmapped
Apool,Apool,9.42395054730677,mESC,Herzog2017_SLAMseq,,,,unmapped
Araf,Araf,5.70513633970993,mESC,Herzog2017_SLAMseq,,,,unmapped
Arf2,Arf2,2.46108233290376,mESC,Herzog2017_SLAMseq,,,,unmapped
Arf4,Arf4,5.00035592355626,mESC,Herzog2017_SLAMseq,,,,unmapped
Arf5,Arf5,9.45289022543445,mESC,Herzog2017_SLAMseq,,,,unmapped
Arf6,Arf6,2.59141559587916,mESC,Herzog2017_SLAMseq,,,,unmapped
Arf6,Arf6,2.33750588852026,mESC,Herzog2017_SLAMseq,,,,unmapped
Arfgap1,Arfgap1,2.10262248478268,mESC,Herzog2017_SLAMseq,,,,unmapped
Arfgap2,Arfgap2,2.30137169827853,mESC,Herzog2017_SLAMseq,,,,unmapped
Arhgap1,Arhgap1,3.60301795899584,mESC,Herzog2017_SLAMseq,,,,unmapped
Arhgap23,Arhgap23,1.71985632359948,mESC,Herzog2017_SLAMseq,,,,unmapped
Arhgap32,Arhgap32,2.26221715339856,mESC,Herzog2017_SLAMseq,,,,unmapped
Arhgap5,Arhgap5,3.28424502689092,mESC,Herzog2017_SLAMseq,,,,unmapped
Arhgef1,Arhgef1,4.92154343946649,mESC,Herzog2017_SLAMseq,,,,unmapped
Arhgef18,Arhgef18,2.2186076734027,mESC,Herzog2017_SLAMseq,,,,unmapped
Arhgef2,Arhgef2,1.84738620583844,mESC,Herzog2017_SLAMseq,,,,unmapped
Arhgef7,Arhgef7,2.4421033059437,mESC,Herzog2017_SLAMseq,,,,unmapped
Arl1,Arl1,6.23530886469052,mESC,Herzog2017_SLAMseq,,,,unmapped
Arl14epl,Arl14epl,4.0858389963985,mESC,Herzog2017_SLAMseq,,,,unmapped
Arl2bp,Arl2bp,5.08259618725359,mESC,Herzog2017_SLAMseq,,,,unmapped
Arl5b,Arl5b,2.53228653851565,mESC,Herzog2017_SLAMseq,,,,unmapped
Arl6ip4,Arl6ip4,4.99113328359374,mESC,Herzog2017_SLAMseq,,,,unmapped
Arl6ip5,Arl6ip5,4.88443034234543,mESC,Herzog2017_SLAMseq,,,,unmapped
Arl6ip6,Arl6ip6,1.62661680249682,mESC,Herzog2017_SLAMseq,,,,unmapped
Arl8a,Arl8a,3.498818831783,mESC,Herzog2017_SLAMseq,,,,unmapped
Arl8b,Arl8b,3.6491406729619,mESC,Herzog2017_SLAMseq,,,,unmapped
Armc10,Armc10,3.8478556833732,mESC,Herzog2017_SLAMseq,,,,unmapped
Armc5,Armc5,1.21125660242329,mESC,Herzog2017_SLAMseq,,,,unmapped
Armcx1,Armcx1,3.82427121740603,mESC,Herzog2017_SLAMseq,,,,unmapped
Armcx5,Armcx5,2.92706304286902,mESC,Herzog2017_SLAMseq,,,,unmapped
Armt1,Armt1,2.61843909233378,mESC,Herzog2017_SLAMseq,,,,unmapped
Arnt,Arnt,3.79920830511765,mESC,Herzog2017_SLAMseq,,,,unmapped
Arntl,Arntl,2.76330874579364,mESC,Herzog2017_SLAMseq,,,,unmapped
Arpc1a,Arpc1a,7.28769650326036,mESC,Herzog2017_SLAMseq,,,,unmapped
Arpc1b,Arpc1b,7.01934977003268,mESC,Herzog2017_SLAMseq,,,,unmapped
Arpc2,Arpc2,4.20558993041667,mESC,Herzog2017_SLAMseq,,,,unmapped
Arpc3,Arpc3,11.5136216847644,mESC,Herzog2017_SLAMseq,,,,unmapped
Arpc4,Arpc4,4.40775315553476,mESC,Herzog2017_SLAMseq,,,,unmapped
Arpc5,Arpc5,4.93554937225809,mESC,Herzog2017_SLAMseq,,,,unmapped
Arpc5l,Arpc5l,3.79032662602443,mESC,Herzog2017_SLAMseq,,,,unmapped
Arpc5l,Arpc5l,4.43831709605289,mESC,Herzog2017_SLAMseq,,,,unmapped
Arpp19,Arpp19,6.08797816942066,mESC,Herzog2017_SLAMseq,,,,unmapped
Arrb2,Arrb2,3.3343598624502,mESC,Herzog2017_SLAMseq,,,,unmapped
Arrdc3,Arrdc3,1.0185748060645,mESC,Herzog2017_SLAMseq,,,,unmapped
Arv1,Arv1,0.73112175294621,mESC,Herzog2017_SLAMseq,,,,unmapped
Arxes1,Arxes1,3.41704691700198,mESC,Herzog2017_SLAMseq,,,,unmapped
Arxes1,Arxes1,4.4833822784034,mESC,Herzog2017_SLAMseq,,,,unmapped
Arxes2,Arxes2,3.57047805724332,mESC,Herzog2017_SLAMseq,,,,unmapped
Asb1,Asb1,3.79236143077137,mESC,Herzog2017_SLAMseq,,,,unmapped
Asf1a,Asf1a,4.34979141844917,mESC,Herzog2017_SLAMseq,,,,unmapped
Asf1b,Asf1b,2.27335782906203,mESC,Herzog2017_SLAMseq,,,,unmapped
Asxl1,Asxl1,3.34572741573633,mESC,Herzog2017_SLAMseq,,,,unmapped
Asxl1,Asxl1,2.32800820644204,mESC,Herzog2017_SLAMseq,,,,unmapped
Atad2b,Atad2b,2.24874683665522,mESC,Herzog2017_SLAMseq,,,,unmapped
Atf1,Atf1,3.54213431384824,mESC,Herzog2017_SLAMseq,,,,unmapped
Atf4,Atf4,2.07711864508093,mESC,Herzog2017_SLAMseq,,,,unmapped
Atf6b,Atf6b,4.49991858889148,mESC,Herzog2017_SLAMseq,,,,unmapped
Atf7ip,Atf7ip,1.28539515305512,mESC,Herzog2017_SLAMseq,,,,unmapped
Atf7ip,Atf7ip,2.20600831577033,mESC,Herzog2017_SLAMseq,,,,unmapped
Atg101,Atg101,2.66809403695097,mESC,Herzog2017_SLAMseq,,,,unmapped
Atg16l1,Atg16l1,2.04960196551212,mESC,Herzog2017_SLAMseq,,,,unmapped
Atg4b,Atg4b,5.94258150001057,mESC,Herzog2017_SLAMseq,,,,unmapped
Atg4b,Atg4b,3.11688700259866,mESC,Herzog2017_SLAMseq,,,,unmapped
Atg4d,Atg4d,3.17804445703233,mESC,Herzog2017_SLAMseq,,,,unmapped
Atg5,Atg5,4.33915262449356,mESC,Herzog2017_SLAMseq,,,,unmapped
Atic,Atic,6.16821489492414,mESC,Herzog2017_SLAMseq,,,,unmapped
Atmin,Atmin,2.43544878408321,mESC,Herzog2017_SLAMseq,,,,unmapped
Atmin,Atmin,2.53549699225607,mESC,Herzog2017_SLAMseq,,,,unmapped
Atp11b,Atp11b,4.29957504183858,mESC,Herzog2017_SLAMseq,,,,unmapped
Atp13a1,Atp13a1,2.03645081594226,mESC,Herzog2017_SLAMseq,,,,unmapped
Atp2b1,Atp2b1,3.17935233186527,mESC,Herzog2017_SLAMseq,,,,unmapped
Atp5a1,Atp5a1,11.3625364321292,mESC,Herzog2017_SLAMseq,,,,unmapped
Atp5a1,Atp5a1,11.0257939642236,mESC,Herzog2017_SLAMseq,,,,unmapped
Atp5b,Atp5b,12.2185541943989,mESC,Herzog2017_SLAMseq,,,,unmapped
Atp5d,Atp5d,9.27702109726524,mESC,Herzog2017_SLAMseq,,,,unmapped
Atp6ap1,Atp6ap1,4.55185632109385,mESC,Herzog2017_SLAMseq,,,,unmapped
Atp6ap2,Atp6ap2,5.40582785767487,mESC,Herzog2017_SLAMseq,,,,unmapped
Atp6v0e,Atp6v0e,9.56544372333936,mESC,Herzog2017_SLAMseq,,,,unmapped
Atp6v0e2,Atp6v0e2,3.44159516251054,mESC,Herzog2017_SLAMseq,,,,unmapped
Atp6v1b2,Atp6v1b2,5.21639051175269,mESC,Herzog2017_SLAMseq,,,,unmapped
Atp6v1c1,Atp6v1c1,4.18339824049245,mESC,Herzog2017_SLAMseq,,,,unmapped
Atp6v1f,Atp6v1f,7.12178030503545,mESC,Herzog2017_SLAMseq,,,,unmapped
Atp6v1g1,Atp6v1g1,4.12709903841417,mESC,Herzog2017_SLAMseq,,,,unmapped
Atp6v1h,Atp6v1h,3.28187747910671,mESC,Herzog2017_SLAMseq,,,,unmapped
Atpaf1,Atpaf1,4.13356331139852,mESC,Herzog2017_SLAMseq,,,,unmapped
Atr,Atr,2.21541204502428,mESC,Herzog2017_SLAMseq,,,,unmapped
Atraid,Atraid,4.39341964383772,mESC,Herzog2017_SLAMseq,,,,unmapped
Atxn10,Atxn10,6.58134448060277,mESC,Herzog2017_SLAMseq,,,,unmapped
Atxn2,Atxn2,4.88191572286799,mESC,Herzog2017_SLAMseq,,,,unmapped
Aunip,Aunip,2.16642933500549,mESC,Herzog2017_SLAMseq,,,,unmapped
Aup1,Aup1,4.37003735502456,mESC,Herzog2017_SLAMseq,,,,unmapped
Aurkaip1,Aurkaip1,7.39018219536339,mESC,Herzog2017_SLAMseq,,,,unmapped
Aven,Aven,7.91760121388968,mESC,Herzog2017_SLAMseq,,,,unmapped
Avl9,Avl9,2.61730877305068,mESC,Herzog2017_SLAMseq,,,,unmapped
AW209491,AW209491,1.23039126500603,mESC,Herzog2017_SLAMseq,,,,unmapped
Axin1,Axin1,2.98219762343372,mESC,Herzog2017_SLAMseq,,,,unmapped
B230219D22Rik,B230219D22Rik,2.04039489876746,mESC,Herzog2017_SLAMseq,,,,unmapped
B230354K17Rik,B230354K17Rik,1.77075720819381,mESC,Herzog2017_SLAMseq,ENSMUSG00000097119.3,ENSMUST00000233097.2,B230354K17Rik,symbol_exact
B3galnt2,B3galnt2,2.38655155158347,mESC,Herzog2017_SLAMseq,,,,unmapped
B3gat3,B3gat3,1.97810379884736,mESC,Herzog2017_SLAMseq,,,,unmapped
B3gnt7,B3gnt7,2.39938743356427,mESC,Herzog2017_SLAMseq,,,,unmapped
B4galnt4,B4galnt4,4.74811397351058,mESC,Herzog2017_SLAMseq,,,,unmapped
B4galt3,B4galt3,3.54344875318888,mESC,Herzog2017_SLAMseq,,,,unmapped
B9d1,B9d1,6.63268366714887,mESC,Herzog2017_SLAMseq,,,,unmapped
Babam1,Babam1,5.6859706910797,mESC,Herzog2017_SLAMseq,,,,unmapped
Bach1,Bach1,2.62086710428514,mESC,Herzog2017_SLAMseq,,,,unmapped
Bad,Bad,5.15327288022059,mESC,Herzog2017_SLAMseq,,,,unmapped
Bag6,Bag6,8.75884984839129,mESC,Herzog2017_SLAMseq,,,,unmapped
Bahcc1,Bahcc1,4.4814186636401,mESC,Herzog2017_SLAMseq,,,,unmapped
Baiap2,Baiap2,2.70989016153765,mESC,Herzog2017_SLAMseq,,,,unmapped
Banp,Banp,2.87051596867122,mESC,Herzog2017_SLAMseq,,,,unmapped
Baz1b,Baz1b,2.21170603412771,mESC,Herzog2017_SLAMseq,,,,unmapped
Baz2a,Baz2a,3.81030187876718,mESC,Herzog2017_SLAMseq,,,,unmapped
Bbc3,Bbc3,2.49584619394892,mESC,Herzog2017_SLAMseq,,,,unmapped
BC003965,BC003965,3.35734667855534,mESC,Herzog2017_SLAMseq,,,,unmapped
BC005537,BC005537,2.99960357805593,mESC,Herzog2017_SLAMseq,,,,unmapped
BC030867,BC030867,2.49339102505737,mESC,Herzog2017_SLAMseq,,,,unmapped
BC031181,BC031181,4.36873608737146,mESC,Herzog2017_SLAMseq,,,,unmapped
BC052040,BC052040,4.76491867543623,mESC,Herzog2017_SLAMseq,,,,unmapped
Bcas2,Bcas2,5.96331286128967,mESC,Herzog2017_SLAMseq,,,,unmapped
